Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=High,0,1,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=High|HarvestHavre=Mid,0,17419354838709677,0,2129032258064516,0,6129032258064516
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Low|HarvestHavre=Mid,0,5618374558303887,0,35335689045936397,0,08480565371024736
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Mid|HarvestHavre=Mid,0,9820143884892086,0,017985611510791366,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Mid|HarvestHavre=Low,0,7183098591549296,0,23380281690140844,0,04788732394366197
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Low|HarvestHavre=Mid,0,985,0,015,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Low|HarvestHavre=Low,0,5,0,43010752688172044,0,06989247311827956
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=High|HarvestHavre=Low,0,1607669616519174,0,661504424778761,0,17772861356932154
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Low|HarvestHavre=High,0,061601642710472276,0,4650924024640657,0,473305954825462
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Mid|HarvestHavre=High,0,08666666666666667,0,6104761904761905,0,3028571428571429
